5354, -1
4292, 1
4734, 2
2601, 2
5376, 1
6850, 2
9107, 3
192, 3
10197, 4
5411, 3
1778, 4
3021, 3
2752, 4
2411, 5
2439, 6
412, 5
10354, 5
5779, 4
2695, 5
797, 6
5472, 5
9560, 5
11961, 6
7696, 4
10635, 7
10862, 8
10093, 6
765, 7
6424, 5
9204, 6
4548, 3
6771, 6
104, 4
301, 6
11421, 9
1510, 7
5626, 6
2598, 7
8552, 5
3904, 4
5331, 3
6703, 7
9567, 7
2013, 6
11473, 10
11307, 10
8339, 6
11690, 11
2650, 6
4147, 5
10679, 9
8308, 7
7737, 8
2783, 5
9027, 6
5699, 7
2165, 7
1221, 8
9635, 8
4845, 4
9146, 7
8060, 9
8279, 10
7318, 5
9340, 7
8449, 7
7154, 6
1287, 9
2055, 8
10445, 8
3146, 5
6495, 8
7826, 10
1486, 10
5233, 5
10196, 7
3297, 6
1173, 9
6874, 7
10601, 9
11988, 7
4967, 6
3500, 7
1277, 10
406, 7
5067, 7
2198, 8
9807, 9
10118, 8
10160, 9
2205, 9
10996, 11
2979, 6
1342, 11
2978, 7
1383, 12
10903, 12
5365, 2
6661, 9
4345, 4
